Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SMART	SM00179:EGF_CA	11	1.2835472578763127	0.002472141968834653	976, 2158, 84658, 286204, 4854, 4811, 147372, 4052, 255743, 5648, 30817	322	95	8735	3.141059169663289	0.41557042816113454	0.41557042816113454	3.094916050853991
GOTERM_MF_FAT	GO:0009055~electron carrier activity	19	2.2170361726954493	0.002729800158859325	126410, 317671, 26872, 261729, 51700, 53905, 8418, 389207, 1588, 57834, 2745, 66002, 11283, 50506, 231, 4051, 5740, 8529, 56605	505	214	12441	2.1872767650596834	0.8499927725978442	0.8499927725978442	4.033964947462987
UP_SEQ_FEATURE	domain:EGF-like 1	13	1.5169194865810969	0.0030364437476000923	84658, 976, 4148, 4854, 7143, 63923, 255743, 55576, 3026, 286204, 4811, 4052, 30817	750	117	18308	2.712296296296296	0.9975438020615652	0.9975438020615652	5.087229753156897
GOTERM_BP_FAT	GO:0014072~response to isoquinoline alkaloid	5	0.5834305717619603	0.0032200305125943706	147, 2690, 1814, 6870, 5122	524	16	12981	7.741531488549619	0.9997689061400785	0.9997689061400785	5.55382908474551
GOTERM_BP_FAT	GO:0043278~response to morphine	5	0.5834305717619603	0.0032200305125943706	147, 2690, 1814, 6870, 5122	524	16	12981	7.741531488549619	0.9997689061400785	0.9997689061400785	5.55382908474551
UP_SEQ_FEATURE	binding site:Heme (covalent; via 1 link)	4	0.4667444574095682	0.0032727810189338057	126410, 4051, 8529, 57834	750	8	18308	12.205333333333334	0.9984625360447442	0.9607894917750891	5.472787764964004
GOTERM_CC_FAT	GO:0005783~endoplasmic reticulum	59	6.884480746791131	0.003360401152571375	840, 9073, 9926, 79041, 90701, 7163, 538, 5740, 8529, 405753, 29940, 6780, 4033, 123, 90527, 9255, 1588, 54898, 57834, 8824, 11283, 10006, 64167, 5122, 56605, 5279, 3998, 51752, 51109, 10523, 340485, 6238, 66002, 83989, 81567, 4051, 10175, 201595, 6745, 7184, 57157, 5283, 126410, 493856, 9524, 54602, 23491, 158747, 857, 9562, 1203, 125972, 100128327, 152573, 51144, 10786, 7095, 7367, 7366	523	950	12245	1.4540706450639025	0.7300172828945941	0.1960618083312755	4.568306648119935
INTERPRO	IPR018097:EGF-like calcium-binding, conserved site	11	1.2835472578763127	0.004459196782769834	976, 2158, 84658, 286204, 4854, 4811, 147372, 4052, 255743, 5648, 30817	636	95	15967	2.9069347898047004	0.9901141538022757	0.9005724072617451	6.844844857297538
INTERPRO	IPR001881:EGF-like calcium-binding	11	1.2835472578763127	0.004459196782769834	976, 2158, 84658, 286204, 4854, 4811, 147372, 4052, 255743, 5648, 30817	636	95	15967	2.9069347898047004	0.9901141538022757	0.9005724072617451	6.844844857297538
INTERPRO	IPR003056:GPCR, family 2, CD97 antigen	3	0.3500583430571762	0.004612439809304435	976, 84658, 30817	636	3	15967	25.105345911949684	0.991567589125944	0.796459617396508	7.072079319618274
OMIM_DISEASE	Variants in TF and HFE explain approximately 40% of genetic variation in serum-transferrin levels	5	0.5834305717619603	0.004706555058173088	6568, 10475, 10590, 2690, 55604	121	18	3020	6.932966023875115	0.6605217707671842	0.6605217707671842	5.865009838496471
UP_SEQ_FEATURE	sequence variant	514	59.97666277712952	0.00478642421808694	8883, 79705, 54103, 5230, 57205, 63923, 3479, 27068, 170691, 10994, 6870, 1310, 150962, 50615, 538, 604, 374470, 79812, 222545, 85865, 23503, 222546, 90527, 5362, 90141, 135154, 8728, 168400, 25780, 84896, 340351, 5218, 387763, 120065, 1814, 120066, 730, 729799, 6750, 1434, 256586, 10875, 255082, 2975, 729, 8756, 27288, 6745, 2834, 347487, 220, 55930, 348938, 27094, 79831, 1300, 1832, 429, 7324, 27299, 6382, 51284, 58472, 10744, 341277, 5126, 840, 53905, 79846, 5334, 55276, 94233, 25896, 2246, 2894, 7259, 154007, 84868, 94234, 390892, 78996, 57492, 344657, 976, 29940, 405753, 831, 23548, 344658, 55127, 57495, 2122, 123, 10863, 8824, 2259, 6197, 56898, 55329, 2258, 53904, 5122, 6194, 10050, 10667, 10668, 284434, 344892, 140836, 55259, 283298, 28957, 340485, 83989, 29106, 28951, 8907, 126410, 285600, 147, 285782, 858, 857, 27151, 6996, 1203, 643812, 5000, 10786, 51144, 55342, 8701, 9334, 84830, 57475, 126402, 7366, 133308, 688, 2643, 29999, 79782, 158521, 10699, 10799, 2746, 343035, 2745, 6167, 9450, 2296, 54914, 9750, 11155, 9652, 55024, 132724, 54816, 2158, 9358, 4033, 9255, 408263, 8495, 114815, 9153, 11283, 2162, 23312, 83890, 152519, 83891, 152518, 3998, 145226, 2628, 10270, 113230, 3026, 11034, 146225, 113540, 83550, 126541, 79029, 4012, 9231, 55010, 54602, 10681, 9562, 3329, 23431, 4811, 79571, 158297, 4008, 11128, 29767, 221303, 221302, 79772, 23333, 54801, 202299, 2918, 53335, 196, 10396, 9825, 54951, 3778, 9002, 29062, 9975, 3593, 23216, 9779, 60682, 631, 54960, 6938, 79949, 204219, 6934, 56940, 732360, 6238, 6239, 54974, 3175, 9674, 60412, 657, 9937, 11063, 4713, 652, 2922, 6236, 4711, 654, 1539, 54848, 135458, 11169, 338323, 2037, 3566, 168850, 5731, 2334, 2332, 9859, 84674, 23270, 337975, 7163, 337976, 337977, 5740, 337979, 6615, 55758, 337971, 3096, 388121, 28316, 1588, 54898, 5648, 203430, 160492, 54790, 4892, 10475, 80219, 7171, 4790, 337968, 337969, 22797, 126370, 92346, 401124, 221692, 388818, 3745, 3845, 136332, 9882, 3841, 100129792, 7188, 55669, 55667, 55661, 4233, 83732, 2444, 10590, 10212, 30062, 158747, 143425, 1062, 345895, 152573, 114884, 55536, 132112, 153745, 10243, 56204, 4148, 4854, 254158, 9073, 92667, 3964, 92126, 55604, 390093, 23228, 342979, 2572, 4741, 64062, 23161, 9060, 84449, 23369, 23165, 4747, 728568, 93627, 4548, 7982, 4751, 4850, 7634, 56605, 64167, 4644, 51555, 55761, 2560, 51559, 4739, 4126, 10365, 65986, 3702, 84456, 66002, 286204, 337959, 10564, 4051, 64864, 133558, 10463, 117286, 10464, 5728, 261729, 55770, 254950, 10253, 55777, 23247, 55775, 2690, 153643, 153642, 7761, 50506, 125972, 1003, 57579, 54518, 1297, 57577, 26658, 27334, 64116, 26266, 401494, 55180, 5019, 170622, 6414, 23077, 8529, 30817, 26664, 7547, 26762, 255743, 1906, 27123, 64224, 643161, 10000, 23476, 10006, 197370, 57169, 8539, 23063, 6555, 619279, 285636, 151126, 26872, 1910, 22852, 54537, 342035, 256714, 26532, 64926, 26538, 26285, 26539, 10523, 22859, 57057, 10017, 5562, 23092, 83468, 147372, 10806, 116984, 26999, 84517, 6568, 51700, 23590, 5566, 23491, 1112, 5053, 8665, 154075, 6671, 389558, 1259, 26136, 85025, 284827, 388182, 23597, 64342, 26333, 51311, 88, 5890, 221120, 5782, 22836, 384, 57639, 55286, 441168, 22936, 55281, 114770, 5989, 151827, 5585, 150159, 26499, 128178, 340267, 5078, 22841, 389208, 57834, 85360, 57129, 57128, 231, 5597, 6652, 285195, 26496, 337880, 5279, 6444, 84658, 57703, 7143, 51752, 100131902, 91404, 5457, 57117, 8796, 1033, 91937, 57016, 374354, 64108, 6623, 91746, 55576, 1014, 5290, 201633, 356, 285025, 441282, 84250, 286410	750	11719	18308	1.0706615467758909	0.9999236881009268	0.9575838980936138	7.9073709334448905
INTERPRO	IPR000152:EGF-type aspartate/asparagine hydroxylation conserved site	11	1.2835472578763127	0.004805496821858334	976, 2158, 84658, 286204, 4854, 4811, 147372, 4052, 255743, 5648, 30817	636	96	15967	2.876654219077568	0.993098689775287	0.7117741772831357	7.357612177690054
UP_SEQ_FEATURE	region of interest:5 X 10 AA approximate repeats	3	0.3500583430571762	0.004878297410024519	337959, 337960, 140258	750	3	18308	24.410666666666664	0.9999364131990662	0.9107019975571404	8.053224670174519
GOTERM_BP_FAT	GO:0035150~regulation of tube size	8	0.9334889148191364	0.005116552309760062	2296, 1910, 3778, 147, 2643, 858, 857, 1906	524	53	12981	3.739305775601325	0.9999983531836734	0.9987167165836707	8.687341327212916
GOTERM_BP_FAT	GO:0050880~regulation of blood vessel size	8	0.9334889148191364	0.005116552309760062	2296, 1910, 3778, 147, 2643, 858, 857, 1906	524	53	12981	3.739305775601325	0.9999983531836734	0.9987167165836707	8.687341327212916
GOTERM_CC_FAT	GO:0044432~endoplasmic reticulum part	26	3.0338389731621938	0.006111780431605624	840, 3998, 51752, 79041, 340485, 6238, 66002, 90701, 81567, 5740, 4051, 8529, 201595, 7184, 6745, 405753, 4033, 23491, 90527, 9562, 57834, 8824, 125972, 64167, 56605, 5279	523	342	12245	1.7799358178748337	0.907890542412945	0.28871531026823194	8.16364950098385
GOTERM_BP_FAT	GO:0002828~regulation of T-helper 2 type immune response	4	0.4667444574095682	0.00631223289123266	3566, 80762, 604, 9466	524	10	12981	9.909160305343512	0.999999927413954	0.9958285755756792	10.61219633469227
KEGG_PATHWAY	hsa05218:Melanoma	9	1.0501750291715286	0.0063883449929564235	2259, 5290, 5728, 10000, 2246, 2258, 3845, 3479, 4233	199	70	4949	3.19748743718593	0.6272923772740927	0.6272923772740927	7.399947381791461
SMART	SM00429:IPT	6	0.7001166861143524	0.00661207483375378	55770, 1879, 4790, 5362, 4233, 5966	322	33	8735	4.932241671372107	0.7629738538102819	0.513146689248478	8.08082995981021
GOTERM_BP_FAT	GO:0055067~monovalent inorganic cation homeostasis	7	0.8168028004667445	0.007986106616546187	1203, 1910, 3778, 730, 285195, 23315, 1906	524	44	12981	3.9411433032616237	0.9999999990877982	0.9945043036405299	13.242636018122022
GOTERM_BP_FAT	GO:0003018~vascular process in circulatory system	8	0.9334889148191364	0.008404132137581243	2296, 1910, 3778, 147, 2643, 858, 857, 1906	524	58	12981	3.416951829428797	0.9999999996945762	0.9874979692557292	13.888057687774158
UP_SEQ_FEATURE	domain:Ferric oxidoreductase	4	0.4667444574095682	0.008795997392295911	26872, 261729, 53905, 50506	750	11	18308	8.876606060606061	0.9999999738072508	0.9695465698401591	14.074223192653434
UP_SEQ_FEATURE	domain:EGF-like 4; calcium-binding	6	0.7001166861143524	0.009098807057305461	976, 286204, 4854, 4052, 255743, 30817	750	32	18308	4.577	0.9999999856789756	0.9507209476835868	14.523798177712155
GOTERM_BP_FAT	GO:0002829~negative regulation of T-helper 2 type immune response	3	0.3500583430571762	0.009209155609162594	80762, 604, 9466	524	4	12981	18.579675572519083	0.9999999999629121	0.9817384039256967	15.118252480782768
INTERPRO	IPR002909:Cell surface receptor IPT/TIG	6	0.7001166861143524	0.009232432325185277	55770, 1879, 4790, 5362, 4233, 5966	636	33	15967	4.564608347627216	0.9999309997743598	0.8528466673594267	13.683868545275246
BIOCARTA	h_igf1mtorpathway:Skeletal muscle hypertrophy is regulated via AKT/mTOR pathway	5	0.5834305717619603	0.009346239149078037	5290, 5728, 1965, 3479, 6194	56	22	1394	5.657467532467533	0.6789674970170928	0.6789674970170928	10.233196550587898
INTERPRO	IPR001128:Cytochrome P450	8	0.9334889148191364	0.009455544745645325	126410, 66002, 11283, 5740, 4051, 1588, 8529, 57834	636	60	15967	3.347379454926625	0.9999453220361372	0.8051791701395647	13.991733059159472
COG_ONTOLOGY	Secondary metabolites biosynthesis, transport, and catabolism	8	0.9334889148191364	0.010265291138763153	126410, 66002, 11283, 5740, 4051, 1588, 8529, 57834	74	65	1918	3.19002079002079	0.21126263167812676	0.21126263167812676	7.853173282949122
INTERPRO	IPR017972:Cytochrome P450, conserved site	8	0.9334889148191364	0.01032550198263281	126410, 66002, 11283, 5740, 4051, 1588, 8529, 57834	636	61	15967	3.292504381895041	0.9999779388569843	0.783825729823581	15.18235500856495
INTERPRO	IPR013130:Ferric reductase-like transmembrane component, N-terminal	4	0.4667444574095682	0.010525825618664433	26872, 261729, 53905, 50506	636	12	15967	8.368448637316561	0.9999821017426653	0.7449640850200774	15.454321388184455
INTERPRO	IPR002401:Cytochrome P450, E-class, group I	7	0.8168028004667445	0.011461647985924925	126410, 66002, 11283, 4051, 1588, 8529, 57834	636	48	15967	3.6611962788259955	0.9999932654368678	0.7337021167822961	16.71403711532623
GOTERM_MF_FAT	GO:0015114~phosphate transmembrane transporter activity	4	0.4667444574095682	0.013951925725163317	6568, 10246, 10786, 10050	505	13	12441	7.58019801980198	0.9999417529479715	0.992368024369239	19.074487129445817
PIR_SUPERFAMILY	PIRSF037941:transmembrane serine protease, TMPRSS11A type	3	0.3500583430571762	0.014923945403038867	28983, 389208, 132724	287	5	7098	14.839024390243905	0.9899596867862326	0.8997986366671223	18.252812717057566
UP_SEQ_FEATURE	compositionally biased region:Poly-Ser	30	3.5005834305717616	0.015298893566220774	79846, 3745, 26122, 9825, 57057, 2295, 2296, 3778, 3175, 538, 64864, 55604, 55667, 9975, 57492, 79596, 9231, 10253, 55777, 3096, 767558, 113263, 81848, 27151, 136319, 7324, 23476, 6671, 4300, 3566, 57475	750	463	18308	1.5816846652267817	0.9999999999999412	0.9871194299570439	23.256097012606382
UP_SEQ_FEATURE	domain:MARVEL	5	0.5834305717619603	0.015374623828500876	146225, 113540, 146223, 51192, 123920	750	24	18308	5.085555555555556	0.9999999999999495	0.9782257589616935	23.357367565763386
GOTERM_BP_FAT	GO:0008015~blood circulation	15	1.7502917152858808	0.015465752685724476	1910, 2643, 147, 10699, 858, 857, 51752, 6870, 5367, 1906, 57057, 2296, 3778, 1814, 64167	524	182	12981	2.0417225903867124	1.0	0.9969125201076322	24.129475983394588
GOTERM_BP_FAT	GO:0003013~circulatory system process	15	1.7502917152858808	0.015465752685724476	1910, 2643, 147, 10699, 858, 857, 51752, 6870, 5367, 1906, 57057, 2296, 3778, 1814, 64167	524	182	12981	2.0417225903867124	1.0	0.9969125201076322	24.129475983394588
SP_PIR_KEYWORDS	endoplasmic reticulum	42	4.900816802800467	0.01577804228673045	3998, 51752, 9926, 51109, 10523, 6238, 66002, 90701, 81567, 538, 4051, 5740, 10175, 201595, 8529, 6745, 7184, 126410, 405753, 6780, 493856, 9524, 4033, 23491, 9255, 1588, 9562, 54898, 57834, 8824, 11283, 125972, 100128327, 152573, 51144, 10786, 7095, 64167, 56605, 7367, 7366, 5279	753	706	18353	1.4499621908964708	0.9995531835541945	0.8546107529478293	20.390832479100276
INTERPRO	IPR006153:Cation/H+ exchanger	4	0.4667444574095682	0.016416173238405857	133308, 285195, 150159, 23315	636	14	15967	7.172955974842767	0.999999962489362	0.8191096308022033	23.09547325992356
GOTERM_BP_FAT	GO:0008217~regulation of blood pressure	10	1.1668611435239207	0.017175411485682752	1910, 147, 2643, 10699, 1814, 51752, 6870, 64167, 5367, 1906	524	98	12981	2.5278470166692633	1.0	0.9963820189447115	26.430075006893862
INTERPRO	IPR008253:Marvel	5	0.5834305717619603	0.018466126984850027	146225, 113540, 146223, 51192, 123920	636	26	15967	4.827951136913401	0.999999995653232	0.826286602716428	25.59934599493858
UP_SEQ_FEATURE	metal ion-binding site:Iron (heme axial ligand)	10	1.1668611435239207	0.018901335628364126	126410, 26872, 66002, 11283, 261729, 5740, 4051, 1588, 8529, 57834	750	98	18308	2.490884353741497	1.0	0.9848478647771088	27.936505156070357
GOTERM_CC_FAT	GO:0005788~endoplasmic reticulum lumen	9	1.0501750291715286	0.01901407489349906	8824, 125972, 81567, 23491, 5740, 51752, 9562, 64167, 7184	523	79	12245	2.667304015296367	0.9994287581992758	0.6068099696269085	23.407915324923433
GOTERM_MF_FAT	GO:0031402~sodium ion binding	11	1.2835472578763127	0.019233512230755936	6568, 133308, 10246, 10786, 6555, 25769, 26266, 259232, 285195, 23315, 10050	505	116	12441	2.3361386138613858	0.9999985986753019	0.9888095832985447	25.363565226023045
GOTERM_BP_FAT	GO:0048278~vesicle docking	5	0.5834305717619603	0.01925353057136961	26258, 4218, 10490, 858, 60412	524	26	12981	4.764019377568996	1.0	0.9963306222442556	29.137882207827957
UP_SEQ_FEATURE	site:Cleavage	8	0.9334889148191364	0.019351570457151614	405754, 976, 84658, 356, 4233, 22859, 30817, 3026	750	67	18308	2.9147064676616914	1.0	0.9789604995072299	28.50219123357557
GOTERM_BP_FAT	GO:0051341~regulation of oxidoreductase activity	6	0.7001166861143524	0.01936379939793132	2643, 384, 538, 3845, 4790, 1906	524	39	12981	3.8112155020551968	1.0	0.993756093543532	29.278903000027658
GOTERM_BP_FAT	GO:0001568~blood vessel development	18	2.100350058343057	0.01947528085497298	1003, 5728, 688, 147, 652, 9255, 857, 51752, 55576, 1906, 57057, 2296, 2246, 388, 538, 147372, 56913, 6934	524	243	12981	1.8350296861747246	1.0	0.9903568919111764	29.421205389586092
SP_PIR_KEYWORDS	Sodium	11	1.2835472578763127	0.01971043525422008	6568, 133308, 10246, 10786, 6555, 25769, 26266, 259232, 285195, 23315, 10050	753	115	18353	2.3313470754662506	0.9999358976295715	0.8549977244028699	24.8320417873373
SP_PIR_KEYWORDS	Sodium transport	11	1.2835472578763127	0.01971043525422008	6568, 133308, 10246, 10786, 6555, 25769, 26266, 259232, 285195, 23315, 10050	753	115	18353	2.3313470754662506	0.9999358976295715	0.8549977244028699	24.8320417873373
INTERPRO	IPR000742:EGF-like, type 3	15	1.7502917152858808	0.020561663181127617	2158, 84658, 976, 4148, 4854, 10863, 255743, 55576, 3026, 8728, 286204, 4811, 147372, 4052, 30817	636	191	15967	1.9716240244986665	0.9999999995220932	0.832783701151149	28.079798787150967
GOTERM_BP_FAT	GO:0032479~regulation of type I interferon production	4	0.4667444574095682	0.020606662153757744	11128, 51284, 51311, 3329	524	15	12981	6.6061068702290076	1.0	0.9889406618138653	30.85017327157128
BBID	79.B_cell_Activation	3	0.3500583430571762	0.020943263321050114	3662, 4790, 5966	13	7	347	11.43956043956044	0.3982880437545596	0.3982880437545596	15.615650010926219
INTERPRO	IPR017973:Cytochrome P450, C-terminal region	7	0.8168028004667445	0.021473959911309612	126410, 66002, 11283, 4051, 1588, 8529, 57834	636	55	15967	3.195225843339051	0.9999999998174944	0.8218165357114537	29.13527455032169
SP_PIR_KEYWORDS	nadp	13	1.5169194865810969	0.021587405929261005	126410, 53905, 145226, 51109, 2746, 2762, 50506, 51144, 231, 4051, 58472, 57016, 8529, 441282	753	151	18353	2.098352725961496	0.9999746961488163	0.8286577610980774	26.86959535041661
GOTERM_BP_FAT	GO:0048514~blood vessel morphogenesis	16	1.8669778296382729	0.02206127515391002	5728, 688, 147, 652, 9255, 857, 51752, 55576, 1906, 57057, 2296, 2246, 388, 538, 147372, 56913	524	209	12981	1.8964900105920595	1.0	0.9883772257357696	32.64730421429801
UP_SEQ_FEATURE	compositionally biased region:Poly-His	7	0.8168028004667445	0.022406503429464472	2295, 6414, 7547, 23476, 3175, 168850, 5457	750	54	18308	3.1643456790123463	1.0	0.9829362893930669	32.23144854259458
INTERPRO	IPR013091:EGF calcium-binding	8	0.9334889148191364	0.02246443280700717	976, 84658, 4854, 4811, 147372, 4052, 255743, 30817	636	71	15967	2.828771370360528	0.9999999999358875	0.812964313022851	30.264754281782878
UP_SEQ_FEATURE	repeat:LRR 24	3	0.3500583430571762	0.02246756704992052	51284, 1062, 51311	750	6	18308	12.205333333333332	1.0	0.9762898901941055	32.304088807421714
